City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Atuona,PF,79.7,clear sky,-9.8,-139.0333,Villa Enata
6,Rikitea,PF,75.24,clear sky,-23.1203,-134.9692,People ThankYou
7,Booue,GA,72.34,light rain,-0.0921,11.9385,Splendeur de l'équateur
8,Hilo,US,78.24,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
9,Kahului,US,77.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
10,Sinnamary,GF,78.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
12,Busselton,AU,71.02,overcast clouds,-33.65,115.3333,Observatory Guest House
17,Ahwa,IN,70.54,overcast clouds,20.75,73.6833,GREEN ORAA HOMESTAY AHWA
20,Laguna,US,78.98,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
27,Arraial Do Cabo,BR,76.51,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Iberia,US,73.04,few clouds,29.9502,-91.7507,back to back rv park
35,Esperance,AU,75.04,scattered clouds,-33.8667,121.9,Hospitality Esperance
36,Saint-Philippe,RE,73.11,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Namibe,AO,70.79,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
42,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
44,Carnarvon,AU,75.27,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
45,Ouesso,CG,73.47,overcast clouds,1.6136,16.0517,ABENIE Hotel
52,Huarmey,PE,70.05,broken clouds,-10.0681,-78.1522,Hotel Miramar
57,Salalah,OM,76.42,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
62,Quatre Cocos,MU,76.08,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
65,Luganville,VU,78.87,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
66,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
